City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,7.8,78,82,3.56,NZ,1684874557
1,puerto natales,-51.7236,-72.4875,4.25,75,40,2.06,CL,1684874557
2,grytviken,-54.2811,-36.5092,2.39,85,42,5.05,GS,1684874557
3,codrington,-38.2667,141.9667,12.86,72,100,6.02,AU,1684873972
4,waitangi,-43.9535,-176.5597,12.12,96,0,0.45,NZ,1684874557
5,utrik,11.2278,169.8474,27.89,77,94,7.32,MH,1684873993
6,invercargill,-46.4,168.35,7.38,77,81,4.16,NZ,1684874557
7,happy valley-goose bay,53.3168,-60.3315,17.17,25,75,7.2,CA,1684874558
8,port lincoln,-34.7333,135.8667,13.57,76,47,6.17,AU,1684873965
9,mejit,10.2753,170.8646,27.7,80,100,7.51,MH,1684874128
10,adamstown,-25.066,-130.1015,24.75,87,69,13.56,PN,1684874558
11,bilibino,68.0546,166.4372,5.43,62,60,1.7,RU,1684874558
12,bethel,41.3712,-73.414,22.47,56,0,4.12,US,1684874506
13,edinburgh of the seven seas,-37.0676,-12.3116,14.12,67,52,13.5,SH,1684874558
14,vorgashor,67.5833,63.95,6.39,78,68,2.99,RU,1684874558
15,blackmans bay,-43.0167,147.3167,11.4,80,41,2.97,AU,1684874558
16,kattivakkam,13.2167,80.3167,31.05,81,40,5.72,IN,1684874137
17,port-aux-francais,-49.35,70.2167,8.13,98,100,14.65,TF,1684874558
18,nuuk,64.1835,-51.7216,-0.66,80,75,11.32,GL,1684873957
19,bredasdorp,-34.5322,20.0403,12.26,89,87,1.59,ZA,1684874558
20,jinka,5.65,36.65,17.31,87,69,1.16,ET,1684874559
21,mekhe,15.1097,-16.6218,22.5,67,100,5.14,SN,1684874559
22,bac lieu,9.285,105.7244,27.74,79,99,2.93,VN,1684874559
23,trinity beach,-16.7888,145.6968,21.12,97,75,4.63,AU,1684874559
24,albany,42.6001,-73.9662,24.83,49,29,1.79,US,1684874455
25,punta arenas,-53.15,-70.9167,1.06,93,0,3.09,CL,1684874559
26,vila franca do campo,37.7167,-25.4333,17.23,79,66,4.17,PT,1684874000
27,rio grande,-32.035,-52.0986,24.06,86,23,3.83,BR,1684874559
28,aasiaat,68.7098,-52.8699,-1.72,89,100,8.52,GL,1684874559
29,georgetown,5.4112,100.3354,28.97,74,20,0.0,MY,1684874390
30,merizo village,13.2658,144.6691,26.85,89,100,29.3,GU,1684874559
31,sao joao da barra,-21.6403,-41.0511,22.05,85,86,5.43,BR,1684874559
32,road town,18.4167,-64.6167,29.02,74,40,4.12,VG,1684873922
33,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,87,75,1.0,RU,1684874560
34,longyearbyen,78.2186,15.6401,2.91,75,75,5.66,SJ,1684874516
35,iskateley,67.6803,53.1512,14.58,65,77,3.76,RU,1684874560
36,naze,28.3667,129.4833,19.51,68,0,3.85,JP,1684873972
37,goksun,38.021,36.4973,9.93,91,4,1.6,TR,1684874560
38,n'zeto,-7.2312,12.8666,24.55,89,1,2.77,AO,1684874560
39,murzuq,25.9155,13.9184,29.92,14,52,3.97,LY,1684874560
40,port mathurin,-19.6833,63.4167,25.18,59,43,5.14,MU,1684873990
41,mugia,43.1041,-9.2179,20.09,86,3,11.54,ES,1684874560
42,kikwit,-5.041,18.8162,22.73,90,44,0.81,CD,1684874560
43,salinopolis,-0.6136,-47.3561,26.96,85,96,3.24,BR,1684873999
44,yambio,4.5721,28.3955,19.68,91,55,0.96,SS,1684874560
45,pitimbu,-7.4706,-34.8086,27.33,85,20,6.02,BR,1684874561
46,kidal,18.4411,1.4078,35.74,13,100,3.91,ML,1684874561
47,lompoc,34.6391,-120.4579,17.14,79,100,5.14,US,1684874561
48,haiku-pauwela,20.9219,-156.3051,28.01,51,20,9.77,US,1684873992
49,hawaiian paradise park,19.5933,-154.9731,25.73,87,40,1.54,US,1684874561
50,huntsville,34.7304,-86.5861,25.93,66,20,4.12,US,1684873896
51,chonchi,-42.6128,-73.8092,10.07,82,76,6.21,CL,1684873974
52,tazovsky,67.4667,78.7,-1.93,95,29,3.38,RU,1684873961
53,avanigadda,16.0215,80.9181,29.15,81,2,4.15,IN,1684874561
54,saint-philippe,-21.3585,55.7679,23.77,78,39,0.69,RE,1684873973
55,chapada dos guimaraes,-15.4606,-55.7497,27.81,47,0,2.02,BR,1684874561
56,laboulaye,-34.1266,-63.3912,20.58,79,100,2.25,AR,1684874561
57,iqaluit,63.7506,-68.5145,-6.15,73,20,11.32,CA,1684874561
58,weno,7.4515,151.8468,27.97,89,75,0.0,FM,1684874562
59,dumpay,15.8807,120.389,26.14,85,65,1.82,PH,1684874562
60,port alfred,-33.5906,26.891,16.91,57,1,2.93,ZA,1684874562
61,akureyri,65.6835,-18.0878,6.96,53,75,9.26,IS,1684874158
62,ta`u,-14.2336,-169.5144,27.21,81,55,4.57,AS,1684873965
63,tiksi,71.6872,128.8694,-8.28,90,26,0.79,RU,1684873966
64,kingston,17.997,-76.7936,29.53,82,20,4.63,JM,1684873738
65,parintins,-2.6283,-56.7358,27.01,86,100,1.31,BR,1684874562
66,tofol,5.3248,163.0078,28.46,77,99,8.13,FM,1684874562
67,langxiang,46.95,128.8833,11.86,56,75,2.28,CN,1684874562
68,port elizabeth,-33.918,25.5701,9.16,87,0,2.06,ZA,1684874562
69,tvoroyri,61.5556,-6.8111,9.13,83,99,13.9,FO,1684874562
70,margaret river,-33.95,115.0667,14.45,60,100,7.52,AU,1684873968
71,kapa'a,22.0752,-159.319,26.99,75,40,5.14,US,1684874563
72,san andres,12.5847,-81.7006,31.01,66,20,4.63,CO,1684874563
73,whitehorse,60.7161,-135.0538,15.61,27,40,2.57,CA,1684874563
74,jinshi,29.6049,111.8701,14.11,92,28,1.07,CN,1684874563
75,klyuchi,52.2667,79.1667,11.57,48,0,3.2,RU,1684873963
76,loreto,22.2667,-101.9667,28.88,18,63,1.98,MX,1684874372
77,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1684874563
78,ushuaia,-54.8,-68.3,6.81,87,75,2.57,AR,1684874563
79,altay,47.8667,88.1167,9.71,48,2,3.27,CN,1684874146
80,sambava,-14.2667,50.1667,23.41,88,77,1.55,MG,1684874008
81,thompson,55.7435,-97.8558,12.09,40,20,4.12,CA,1684874379
82,geraldton,-28.7667,114.6,17.23,94,75,1.54,AU,1684874563
83,enewetak,11.3474,162.3373,28.23,73,100,7.31,MH,1684874563
84,lazaro cardenas,17.9583,-102.2,31.05,57,72,4.74,MX,1684874563
85,jamestown,42.097,-79.2353,23.8,38,75,3.6,US,1684874275
86,mutsu,41.2894,141.2169,9.16,81,86,1.11,JP,1684874358
87,stanley,54.868,-1.6985,13.77,74,99,4.2,GB,1684874564
88,newman,37.3138,-121.0208,28.9,10,66,5.12,US,1684874140
89,khandyga,62.6667,135.6,4.1,61,7,0.88,RU,1684873995
90,codo,-4.4553,-43.8856,27.8,72,96,0.79,BR,1684874564
91,ribeira grande,38.5167,-28.7,19.22,72,40,4.63,PT,1684874564
92,nakskov,54.8373,11.1284,9.52,78,58,8.2,DK,1684874564
93,st. john's,47.5649,-52.7093,4.32,94,100,8.23,CA,1684873933
94,berdigestyakh,62.0989,126.6992,3.47,52,58,0.65,RU,1684874564
95,port shepstone,-30.7414,30.455,16.5,77,11,4.11,ZA,1684874564
96,taulaga,-11.0553,-171.0883,27.83,71,29,3.2,AS,1684874564
97,hermanus,-34.4187,19.2345,14.6,78,52,2.38,ZA,1684874565
98,kirakira,-10.4544,161.9205,27.43,83,85,2.79,SB,1684874005
99,malango,-2.9627,119.9001,19.1,98,100,0.62,ID,1684874565
100,wailua homesteads,22.0669,-159.378,26.24,76,40,5.14,US,1684874565
101,susuman,62.7833,148.1667,2.67,99,100,0.99,RU,1684874565
102,kulhudhuffushi,6.6221,73.07,28.52,75,20,2.69,MV,1684874565
103,alice springs,-23.7,133.8833,1.75,87,0,2.49,AU,1684873977
104,tangalle,6.024,80.7911,25.53,87,1,3.32,LK,1684874565
105,san antonio de pale,-1.4014,5.6325,26.35,81,91,2.0,GQ,1684874565
106,vahdat,38.5563,69.0135,17.41,72,20,2.0,TJ,1684874565
107,olonkinbyen,70.9221,-8.7187,1.55,99,100,5.76,SJ,1684874565
108,ust'-uda,54.1742,103.0304,8.86,76,100,5.74,RU,1684874136
109,coquimbo,-29.9533,-71.3436,15.85,88,75,4.63,CL,1684873976
110,kuopio,62.8924,27.677,12.9,76,84,4.12,FI,1684874566
111,negru voda,43.8167,28.2,14.46,91,6,1.93,RO,1684874566
112,puerto leguizamo,-0.1934,-74.7819,26.92,93,94,0.58,CO,1684874566
113,masuguru,-11.3667,38.4167,24.21,76,87,2.22,TZ,1684874566
114,cabras,39.93,8.5314,16.25,84,12,3.67,IT,1684874566
115,college,64.8569,-147.8028,18.66,36,20,2.06,US,1684874566
116,lebu,-37.6167,-73.65,12.68,71,12,7.41,CL,1684874566
117,berezovyy,51.6667,135.7,11.0,85,99,0.77,RU,1684874566
118,alegrete,-29.7831,-55.7919,22.06,79,28,3.55,BR,1684874566
119,egilsstadir,65.2653,-14.3948,7.95,49,0,11.83,IS,1684873991
120,flying fish cove,-10.4217,105.6791,24.82,88,40,4.12,CX,1684874567
121,kodiak,57.79,-152.4072,6.73,93,100,9.26,US,1684874567
122,al kharijah,25.4514,30.5464,28.88,14,0,3.97,EG,1684874567
123,taoudenni,22.6783,-3.9836,31.14,19,100,4.45,ML,1684874001
124,brokopondo,4.75,-55.1667,26.37,88,92,2.74,SR,1684874567
125,boguchany,58.3814,97.4531,1.81,87,24,4.56,RU,1684874567
126,inirida,3.8653,-67.9239,28.68,85,64,0.76,CO,1684874567
127,kill devil hills,36.0307,-75.676,18.88,79,100,9.77,US,1684874567
128,mundo nuevo,18.7,-95.5,28.47,70,29,5.57,MX,1684874567
129,beyneu,45.3167,55.2,22.16,43,44,7.07,KZ,1684874567
130,qaqortoq,60.7167,-46.0333,0.83,67,16,7.25,GL,1684874567
131,itoman,26.1247,127.6694,21.01,71,20,2.57,JP,1684874567
132,nemuro,43.3236,145.575,4.73,85,100,8.24,JP,1684874568
133,sandnessjoen,66.0217,12.6316,8.69,83,20,3.6,NO,1684873973
134,canico,32.6333,-16.85,19.35,77,40,1.54,PT,1684874568
135,dudinka,69.4058,86.1778,-3.51,95,41,4.72,RU,1684873938
136,kruisfontein,-34.0033,24.7314,12.26,61,8,2.32,ZA,1684874568
137,afaahiti,-17.75,-149.2833,27.93,87,69,6.32,PF,1684873996
138,cogoleto,44.3893,8.6429,19.88,82,19,1.79,IT,1684874568
139,nahiyat ash shinafiyah,31.5874,44.6602,33.02,22,26,3.9,IQ,1684874568
140,saldanha,-33.0117,17.9442,10.03,86,96,2.02,ZA,1684873972
141,general acha,-37.377,-64.6043,18.34,64,88,1.89,AR,1684874568
142,west island,-12.1568,96.8225,25.99,89,40,1.54,CC,1684874568
143,kavaratti,10.5669,72.642,28.99,73,19,2.37,IN,1684874569
144,ilulissat,69.2167,-51.1,-2.99,74,75,8.23,GL,1684874569
